PLAYER,Dacc,DD,GIR,SGpp,SCR,R1,R2,R3,R4,TOT,SGttg,SGott,SGapr,SGarg
Min Woo Lee,66.07,296.6,65.28,1.936,56,68,70,66,76,280,0.132,1.116,-1.471,0.487
Rickie Fowler,55.36,287.3,66.67,0.911,50,72,70,68,71,281,0.908,0.582,0.652,-0.326
Adam Hadwin,67.86,290.6,69.44,-0.548,63.64,71,70,69,71,281,2.366,1.259,0.45,0.657
Collin Morikawa,67.86,286.4,70.83,-0.642,61.9,65,73,72,71,281,2.46,0.062,2.321,0.078
Adam Svensson,67.86,276.3,56.94,0.238,70.97,68,67,75,71,281,1.58,0.587,0.625,0.368
Denny McCarthy,73.21,284.4,65.28,0.484,64,68,72,69,72,281,1.335,0.906,0.043,0.386
Christiaan Bezuidenhout,62.5,274.9,62.5,0.983,74.07,68,70,69,74,281,0.836,-0.136,0.84,0.132
Xander Schauffele,51.79,293.4,61.11,0.777,50,72,73,69,68,282,0.791,-0.864,0.532,1.124
Russell Henley,75,287.9,68.06,-0.208,47.83,72,74,66,70,282,1.777,0.945,0.164,0.668
Tony Finau,62.5,291.5,68.06,0.598,47.83,73,72,66,71,282,0.971,-0.02,1.056,-0.065
Brandon Wu,50,288.3,55.56,1.752,53.13,73,69,69,71,282,-0.183,-0.078,-0.237,0.132
Jordan Spieth,57.14,291.8,65.28,0.201,60,69,75,66,72,282,1.367,-0.108,1.129,0.346
Patrick Cantlay,69.64,297.6,65.28,0.076,52,72,70,68,72,282,1.492,1.475,1.079,-1.062
Jason Day,46.43,292.5,65.28,-0.074,68,70,70,70,72,282,1.643,-0.671,0.722,1.592
Aaron Rai,69.64,289.5,73.61,0.014,63.16,73,69,65,75,282,1.555,0.845,0.694,0.015
Eric Cole,64.29,291,56.94,0.509,58.06,73,73,69,68,283,0.809,0.73,0.202,-0.123
Danny Willett,55.36,289.1,61.11,0.168,75,72,71,71,69,283,1.151,0.172,0.604,0.374
Brendon Todd,67.86,276.4,59.72,0.353,58.62,71,69,74,69,283,0.965,0.427,0.303,0.235
Ryan Fox,55.36,294.8,65.28,1.021,60,74,68,70,71,283,0.297,0.594,0.05,-0.348
Si Woo Kim,64.29,277.8,65.28,-0.713,48,69,74,68,72,283,2.032,0.458,1.775,-0.201
Wyndham Clark,62.5,301.1,56.94,0.127,70.97,69,73,69,72,283,1.191,1.23,-0.057,0.018
Tommy Fleetwood,55.36,282.6,62.5,0.025,62.96,72,70,65,76,283,1.294,-0.13,1.232,0.192
Chad Ramey,71.43,281.9,52.78,2.816,70.59,64,75,68,76,283,-1.497,0.337,-2.374,0.539
Keith Mitchell,50,300.9,56.94,1.249,51.61,72,74,68,70,284,-0.181,-0.414,0.026,0.208
Shane Lowry,58.93,298.6,62.5,-1.059,48.15,77,69,68,70,284,2.128,0.43,1.605,0.092
Austin Smotherman,64.29,285.8,59.72,-0.153,51.72,73,72,69,70,284,1.221,0.122,0.766,0.333
Sam Burns,66.07,293.8,61.11,0.754,57.14,68,74,72,70,284,0.315,0.317,-0.245,0.242
Mark Hubbard,66.07,280.6,63.89,0.329,65.38,71,72,70,71,284,0.739,-0.002,0.28,0.461
Byeong Hun An,41.07,295.9,51.39,0.341,71.43,71,70,70,73,284,0.727,-0.51,0.198,1.039
Taylor Moore,58.93,289,59.72,0.401,58.62,70,75,65,74,284,0.668,0.303,0.953,-0.588
Dylan Wu,71.43,287.4,63.89,0.254,53.85,69,73,68,74,284,0.814,0.814,0.198,-0.198
